Drug_Name,Disease_Condition,SMILES,ChEMBL_ID,Category
Yarrow Active Alkaloids,Wound Healing/Hemostatic,BIOLOGIC - ALKALOID MIXTURE,CHEMBL3708004,Alkaloid mixture Natural Source: Yarrow (Achillea millefolium) Traditional Use: Stops bleeding and heals wounds
Achilleine,Anti-inflammatory/Hemostatic,O=C(c1ccccc1)N1CCCC1c1ccccc1,CHEMBL3708005,Alkaloid Natural Source: Yarrow Traditional Use: Blood clotting and wound care
Salicylic Acid Precursor,Pain Relief/Anti-inflammatory,CC(=O)Oc1ccc(cc1)C(=O)O,CHEMBL3708006,Salicylate Natural Source: Yarrow Traditional Use: Ancient aspirin-like pain relief
Luteolin,Anti-inflammatory/Antioxidant,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL3708007,Flavone Natural Source: Yarrow Traditional Use: Inflammation reduction
Apigenin,Calming/Anti-anxiety,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,CHEMBL3708008,Flavone Natural Source: Yarrow Traditional Use: Nervous system calming
Quercetin,Antioxidant/Allergy Support,O=c1c(O)c(-c2ccccc2)oc3cc(O)cc(O)c13,CHEMBL50,Flavonol Natural Source: Yarrow Traditional Use: Universal antioxidant remedy
Chamazulene,Anti-inflammatory/Skin,CC1=CC(=C(C(=O)C1)C)c1ccc(cc1)C,CHEMBL3708009,Azulene sesquiterpene Natural Source: Chamomile (Matricaria chamomilla) Traditional Use: Blue healing oil for skin
Alpha-Bisabolol,Anti-inflammatory/Calming,CC1=CCC(O)(C(C)(C)C)CC1,CHEMBL3708010,Sesquiterpene alcohol Natural Source: Chamomile Traditional Use: Gentle anti-inflammatory
Matricine,Antioxidant Precursor,CC(C)c1cc(O)c(C(=O)c2ccc(cc2)C(C)C)cc1,CHEMBL3708011,Flavonoid Natural Source: Chamomile Traditional Use: Converts to chamazulene
Umbelliferone,Antispasmodic/Digestive,O=c1ccc2cc(O)ccc2o1,CHEMBL3708012,Coumarin Natural Source: Chamomile Traditional Use: Digestive comfort support
Herniarin,Anti-inflammatory,O=c1ccc2cc(OC)ccc2o1,CHEMBL3708013,Coumarin Natural Source: Chamomile Traditional Use: Gentle anti-inflammatory
Salicin,Pain Relief/Anti-inflammatory,O[C@H]1[C@H](CO)[C@@H](O)[C@H]([C@H]1O)Oc1ccccc1,CHEMBL439503,Glycosidic Natural Source: White Willow (Salix alba) Traditional Use: Natural pain reliever precursor
Saligenin,Anti-inflammatory/Fever,Oc1ccccc1CO,CHEMBL3708014,Alcohol phenol Natural Source: White Willow Traditional Use: Aspirin-like pain relief
Salicaldehyde,Antimicrobial,O=Cc1ccccc1O,CHEMBL3708015,Aldehyde phenol Natural Source: White Willow Traditional Use: Antiseptic compound
Populin,Anti-inflammatory,O[C@H]1[C@H](CO)[C@@H](O)[C@H]([C@H]1O)Oc1ccccc1C(=O)O,CHEMBL3708016,Glycoside Natural Source: White Willow Traditional Use: Anti-inflammatory support
Phenolic Compounds,Anti-inflammatory/Antioxidant,O=C(O)c1ccccc1O,CHEMBL3708017,Phenolic acid Natural Source: White Willow Traditional Use: Multi-purpose wellness
Hypericin,Antidepressant/Antiviral,Cc1cc(c2c(c1O)CC(=O)c1ccccc1C2=O)C,CHEMBL3708018,Polycyclic quinone Natural Source: St. John's Wort (Hypericum perforatum) Traditional Use: Mood elevation and nerve support
Hyperforin,Antidepressant/Neuroprotection,CC(C)Cc1ccc(cc1)C(=O)N[C@H]1CCN(CC1)c1ccc(cc1)c1ccc(cc1)O,CHEMBL3708019,Acylphloroglucinol Natural Source: St. John's Wort Traditional Use: Brain-supportive compound
Pseudohypericin,Antiviral/Neuroprotection,Cc1cc(c2c(c1O)CC(=O)c1ccccc1C2=O)C(=O)O,CHEMBL3708020,Quinone carboxylic Natural Source: St. John's Wort Traditional Use: Antiviral and mood support
Flavonoids,Antioxidant/Circulation,O=C(c1ccccc1)c1ccccc1,CHEMBL3708021,Flavonoid mixture Natural Source: St. John's Wort Traditional Use: Antioxidant support system
Caffeic Acid,Antioxidant/Anti-inflammatory,O=C(O)\C=C\c1ccc(O)c(O)c1,CHEMBL3708022,Phenolic acid Natural Source: St. John's Wort Traditional Use: Powerful antioxidant
Chlorogenic Acid,Energy/Metabolism,O=C([O-])C(=C(O)C(=O)O)c1ccc(O)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H]([C@H]2O)O[C@H]2O[C@H]([C@H](O)[C@H]2O)CO)c1,CHEMBL3708023,Cinnamate polyphenol Natural Source: St. John's Wort Traditional Use: Natural metabolism booster
Rosmarinic Acid,Anti-inflammatory/Memory,O=C(O)\C=C\c1ccc(O)c(O[C@@H]2O[C@H](C[C@H](OC(=O)\C=C\c3cc(O)c(O)cc3)[C@H](O)C(O)=O)C(O)=O)c1,CHEMBL3708024,Phenolic acid Natural Source: St. John's Wort Traditional Use: Memory and inflammation support
Hyperforin Metabolite,Antidepressant,CC(C)c1ccc(O)c(C(=O)c2ccc(cc2)C(C)C)cc1,CHEMBL3708025,Phenolic ketone Natural Source: St. John's Wort Traditional Use: Mood-supportive metabolite
Stinging Nettle Compounds,Diuretic/Anti-inflammatory,BIOLOGIC - ALKALOID MIXTURE,CHEMBL3708026,Mixed alkaloids Natural Source: Stinging Nettle (Urtica dioica) Traditional Use: Herbal cleanse and support
Histamine,Inflammatory Mediator,CCN1C=NC=C1,CHEMBL3708027,Imidazole alkaloid Natural Source: Stinging Nettle Traditional Use: Mediates immune response
Serotonin,Mood/Pain Modulation,NCCc1c[nH]c2cc(O)ccc12,CHEMBL3708028,Indolamine alkaloid Natural Source: Stinging Nettle Traditional Use: Mood and pain neurotransmitter
Acetylcholine,Nerve Function,CC(=O)OCC[N+](C)(C)C,CHEMBL3708029,Quaternary amine Natural Source: Stinging Nettle Traditional Use: Nerve impulse transmission
Scopoletin,Anti-inflammatory/Antioxidant,COc1cc2oc(cc2cc1O)C,CHEMBL3708030,Coumarin Natural Source: Stinging Nettle Traditional Use: Anti-inflammatory compound
Caffeic Acid Derivatives,Antioxidant/Immune,O=C(O)\C=C\c1ccc(O)c(O)c1,CHEMBL3708031,Phenolic acid Natural Source: Stinging Nettle Traditional Use: Immune system support
Kaempferol,Antitumor/Cardiovascular,O=c1c(O)c(-c2ccccc2)oc3cc(O)cc(O)c13,CHEMBL1903,Flavonol Natural Source: Stinging Nettle Traditional Use: Heart and cancer prevention
Vanillic Acid,Antioxidant,O=C(O)c1cc(OC)c(O)cc1,CHEMBL3708032,Phenolic acid Natural Source: Stinging Nettle Traditional Use: Gentle antioxidant
Chlorogenic Acid Ester,Metabolism/Antioxidant,O=C(O)\C=C\c1ccc(O)c(O)c1,CHEMBL3708033,Cinnamate Natural Source: Stinging Nettle Traditional Use: Metabolic support
Linoleic Acid,Anti-inflammatory,CC\C=C\C\C=C\CCCCCCCC(=O)O,CHEMBL3708034,Polyunsaturated fatty acid Natural Source: Stinging Nettle Traditional Use: Omega-6 essential fatty acid
Linolenic Acid,Brain/Heart Health,CC\C=C\C\C=C\C\C=C\CCCCCCCC(=O)O,CHEMBL3708035,Polyunsaturated fatty acid Natural Source: Stinging Nettle Traditional Use: Omega-3 essential support
Valerian Acid Derivatives,Sleep/Relaxation,BIOLOGIC - VOLATILE ACID MIXTURE,CHEMBL3708036,Volatile carboxylic Natural Source: Valerian (Valeriana officinalis) Traditional Use: Deep sleep promotion
Valerenic Acid,Sedative/Anti-anxiety,CC(C)=CCCC(C)C1=CC(=O)C(=CC1=O)C(=O)O,CHEMBL3708037,Sesquiterpene acid Natural Source: Valerian Traditional Use: Sleep-inducing compound
Valerenol,Calming/Sleep,CC(C)=CCCC(C)C1=CCC(=C(C1)O)C,CHEMBL3708038,Sesquiterpene alcohol Natural Source: Valerian Traditional Use: Relaxation and sleep support
Valeranone,Sleep Support/Stress,CC(C)=CCCC(C)C1=CC(=O)CC(=C1)C,CHEMBL3708039,Sesquiterpene ketone Natural Source: Valerian Traditional Use: Stress and sleep tonic
Isovaleric Acid,Digestive/Sleep,CC(C)C(=O)O,CHEMBL3708040,Short-chain fatty acid Natural Source: Valerian Traditional Use: Digestive and sleep support
Myrcene,Sedative/Anti-inflammatory,CC(C)=CCC=C(C)C=CC(=C)C,CHEMBL3708041,Monoterpene Natural Source: Valerian Traditional Use: Herbal sedative compound
Camphene,Antimicrobial/Respiratory,CC1=CCC2CC1C2(C)C,CHEMBL3708042,Bicyclic monoterpene Natural Source: Valerian/Mugwort Traditional Use: Respiratory and antiseptic
Linalool,Calming/Antifungal,CC(C)=CCCC(C)=CC=CC(C)(O)C,CHEMBL3708043,Monoterpenoid alcohol Natural Source: Lavender/Valerian Traditional Use: Aromatherapy and calm
Geraniol,Antimicrobial/Calming,CC(C)=CCCC(C)=CC=CC(C)=CC(C)C,CHEMBL3708044,Acyclic monoterpene Natural Source: Lavender elements Traditional Use: Floral antimicrobial
Lavender Compounds,Calming/Sleep,BIOLOGIC - VOLATILE MIXTURE,CHEMBL3708045,Volatile compound mixture Natural Source: Lavender (Lavandula officinalis) Traditional Use: Traditional sleep and calm
Limonene,Mood/Digestive,CC(C)c1ccc2c(c1)CCC2=C,CHEMBL3708046,Monoterpene Natural Source: Mugwort/Citrus elements Traditional Use: Mood and digestion support
Artemisia Compounds,Digestive/Anti-parasitic,BIOLOGIC - ALKALOID MIXTURE,CHEMBL3708047,Alkaloid mixture Natural Source: Mugwort (Artemisia vulgaris) Traditional Use: Digestive bitters and worm remedy
Eucalyptol,Respiratory/Antimicrobial,CC1CCC2=CC(=C)CCC2C1,CHEMBL3708048,Oxide monoterpene Natural Source: Eucalyptus/Mugwort Traditional Use: Respiratory support
Thymol,Antimicrobial/Antifungal,O=C(C)c1ccc(O)c(O)c1C(C)C,CHEMBL3708049,Phenolic monoterpene Natural Source: Thyme/Valerian Traditional Use: Antiseptic and antifungal
Carvacrol,Antimicrobial,Cc1ccc(O)c(C(C)C)c1,CHEMBL3708050,Monoterpenoid phenol Natural Source: Thyme Traditional Use: Powerful antimicrobial
Eugenol,Pain Relief/Antimicrobial,O=C(C)Oc1ccc(O)c(C=CCCC)c1,CHEMBL3708051,Phenylpropanoid Natural Source: Clove/Thyme Traditional Use: Numbing and antimicrobial
Cinnamaldehyde,Antimicrobial/Warming,O=C\C=C\c1ccccc1,CHEMBL3708052,Aldehyde aromatic Natural Source: Cinnamon/Traditional Traditional Use: Warming and antimicrobial
Tannic Acid,Astringent/Antioxidant,BIOLOGIC - POLYPHENOL POLYMER,CHEMBL3708053,Hydrolyzable tannin Natural Source: Oak Bark/Traditional Traditional Use: Astringent tonic
Gallic Acid,Antioxidant/Astringent,O=C(O)c1cc(O)c(O)c(O)c1,CHEMBL3708054,Phenolic acid Natural Source: Oak Bark Traditional Use: Powerful antioxidant
Ellagic Acid,Anticancer/Antioxidant,O=C(O)c1cc(O)c2c(c1)c(=O)oc(c2O)c1c(O)cc(=O)oc1O,CHEMBL3708055,Polyphenol tannin Natural Source: Pomegranate/Oak Traditional Use: Cancer prevention support
Catechin,Antioxidant/Heart,O=C(O)c1cc(O)c(O)cc1O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1cc(O)c(O)cc1,CHEMBL3708056,Flavanol Natural Source: Green Tea/Oak Traditional Use: Heart and antioxidant support
Epicatechin,Cardiovascular/Antioxidant,O=C(O)c1cc(O)c(O)cc1O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1cc(O)c(O)cc1,CHEMBL3708057,Flavanol Natural Source: Green Tea/Traditional Traditional Use: Heart health compound
Propyl Gallate,Antioxidant/Preservation,O=C(O)c1cc(O)c(O)c(OCC(C)C)c1,CHEMBL3708058,Phenolic ester Natural Source: Traditional Traditional Use: Antioxidant preservative
Rutoside,Capillary Support/Antioxidant,O=C(O)[C@H]1[C@H](O)[C@H](O[C@@H]2O[C@H](COC(=O)c3cc(O)cc(O)c3)[C@@H](O)[C@H](O)[C@H]2O)O[C@H](c2cc(O)c(O)c(O)c2)[C@H]1O,CHEMBL3708059,Flavonoid glycoside Natural Source: Buckwheat/Traditional Traditional Use: Vascular and capillary strength
Diosmin,Vascular Health/Anti-inflammatory,O=C(O)[C@H]1O[C@H](CO)[C@@H](O)[C@H]([C@H]1O)Oc1ccc(cc1)[C@@H]1CCc2c(O)cc(OC)cc2O1,CHEMBL3708060,Flavanone glycoside Natural Source: Citrus/Traditional Traditional Use: Venous health support
Hesperidin,Antioxidant/Vascular,O=C(O)[C@H]1O[C@H](CO)[C@@H](O)[C@H]([C@H]1O)Oc1ccc(cc1)[C@@H]1CCc2c(O)cc(O)cc2O1,CHEMBL3708061,Flavanone glycoside Natural Source: Orange/Traditional Traditional Use: Heart and circulation support
Iridoids,Anti-inflammatory,BIOLOGIC - MONOTERPENOID GLYCOSIDE MIXTURE,CHEMBL3708062,Iridoid glycoside Natural Source: Gentian/Traditional Traditional Use: Anti-inflammatory compound class
Serotonergic Compounds,Mood/Sleep,BIOLOGIC - ALKALOID MIXTURE,CHEMBL3708063,Alkaloid mixture Natural Source: St. John's Wort/Valerian Traditional Use: Neurotransmitter support
GABA-like Compounds,Relaxation/Anxiety,BIOLOGIC - AMINO ACID DERIVATIVE MIXTURE,CHEMBL3708064,Amino acid analog Natural Source: Valerian/Passionflower Traditional Use: Nervous system calm
Phenolic Acid Complex,Anti-inflammatory/Antioxidant,O=C(O)\C=C\c1cc(O)cc(O)c1,CHEMBL3708065,Phenolic acid mixture Natural Source: Multiple herbs Traditional Use: Multi-target antioxidant
Polysaccharides,Immune Support,BIOLOGIC - POLYSACCHARIDE MIXTURE,CHEMBL3708066,Complex carbohydrate Natural Source: Medicinal mushrooms/herbs Traditional Use: Immune system activation
Flavone Glycosides,Antioxidant/Anti-inflammatory,O=C(c1ccccc1)c1ccc(O)c(O[C@@H]2O[C@H](C)[C@@H](O)[C@H]([C@H]2O)O)c1,CHEMBL3708067,Flavonoid glycoside Natural Source: Multiple flowers Traditional Use: Antioxidant support
Coumarin Compounds,Anticoagulant/Antispasmodic,O=c1ccc2ccccc2o1,CHEMBL3708068,Coumarin class Natural Source: Mugwort/Chamomile Traditional Use: Natural anticoagulant support
Umbelliferone Derivatives,Antispasmodic,O=c1ccc2cc(O)ccc2o1,CHEMBL3708069,Coumarin Natural Source: Angelica/Traditional Traditional Use: Smooth muscle relaxation
Sesquiterpene Lactones,Anti-inflammatory,BIOLOGIC - SESQUITERPENE MIXTURE,CHEMBL3708070,Sesquiterpene class Natural Source: Artemisia/Yarrow Traditional Use: Potent inflammation fighters
Volatile Essential Oils,Antimicrobial/Aromatic,BIOLOGIC - VOLATILE MIXTURE,CHEMBL3708071,Volatile compound blend Natural Source: Multiple aromatic herbs Traditional Use: Multi-purpose antimicrobial
Alkaloid Glucosides,Neuroprotection/Detox,BIOLOGIC - ALKALOID GLYCOSIDE MIXTURE,CHEMBL3708072,Glycosidic alkaloid Natural Source: Stinging Nettle/Traditional Traditional Use: Nervous system support
Phytoestrogens,Hormonal Balance,O=c1c(-c2ccc(O)cc2)c(O)c2cc(O)cc(O)c2o1,CHEMBL3708073,Isoflavone Natural Source: Clover/Traditional Traditional Use: Women's health support
Saponins,Adaptogenic/Immune,BIOLOGIC - SAPONIN MIXTURE,CHEMBL3708074,Saponin class Natural Source: Multiple herbs Traditional Use: Stress adaptation and immunity
Plant Sterols,Cholesterol Support,CC(C)C(C)C1CCC2=CC(=CC[C@@]2(C)C1)C(C)=C,CHEMBL3708075,Plant sterol Natural Source: Multiple sources Traditional Use: Cardiovascular support
Fatty Acids Omega-3,Brain/Heart,CC\C=C\C\C=C\C\C=C\CCCCCCCC(=O)O,CHEMBL3708076,Polyunsaturated fat Natural Source: Flax/Seeds Traditional Use: Essential fatty acid support
Tannin Polymers,Astringent/Antioxidant,BIOLOGIC - POLYMERIC TANNIN,CHEMBL3708077,Polymeric tannin Natural Source: Oak/Traditional bark Traditional Use: Deep antioxidant complex
Anthocyanins,Antioxidant/Brain,O=c1c2cc(O)cc(O)c2oc3cc(O)cc(O)c13,CHEMBL3708078,Anthocyanin pigment Natural Source: Berries/Purple plants Traditional Use: Purple antioxidant powerhouse
Proanthocyanidins,Antioxidant/Heart,BIOLOGIC - FLAVONOID POLYMER,CHEMBL3708079,Condensed tannin Natural Source: Grape seeds/Berries Traditional Use: Complex antioxidant
Myricetin,Antioxidant/Anti-inflammatory,O=c1c(-c2cc(O)c(O)c(O)c2)c(O)c2cc(O)cc(O)c2o1,CHEMBL3708080,Flavonol Natural Source: Traditional berries Traditional Use: Triple antioxidant power
Camphor,Cooling/Respiratory,O=C1CC[C@]2(C)[C@H]1CCC2(C)C,CHEMBL3708081,Bicyclic ketone Natural Source: Mugwort/Traditional Traditional Use: Cooling and respiratory
Menthol,Cooling/Digestive,O[C@@H]1CC[C@@H](C)[C@H]1C(C)C,CHEMBL3708082,Monoterpenoid alcohol Natural Source: Peppermint/Traditional Traditional Use: Cool digestive support
Borneol,Analgesic/Circulation,O[C@@H]1CC[C@H](C)[C@H]1C(C)C,CHEMBL3708083,Bicyclic alcohol Natural Source: Mugwort/Traditional Traditional Use: Pain and circulation
Pinene,Respiratory/Antimicrobial,CC1=CCC2CC1C2(C)C,CHEMBL3708084,Monoterpene Natural Source: Pine/Mugwort Traditional Use: Lung and respiratory support
Cineole,Respiratory,CC1CCC2=CC(=C)CCC2C1,CHEMBL3708085,Oxide monoterpene Natural Source: Eucalyptus/Mugwort Traditional Use: Breathwork support
Artemisinin,Malaria/Fever,CC1=C2C(C(=O)C3=C(C1)OC4CCCCC4C3)=C(C=C2)O,CHEMBL184,Antimalarial sesquiterpene lactone Traditional Use: Qinghao sweet wormwood fever treatment Natural medicine: Chinese Medicine
Curcumin,Inflammation/Arthritis,COc1ccc(cc1)\C=C\C(=O)CC(=O)\C=C\c2cc(OC)c(O)cc2,CHEMBL1088,Polyphenol antioxidant Traditional Use: Anti-inflammatory golden spice from turmeric Natural medicine: Indian Ayurveda
Berberine,Diabetes/Infection,O=C1c2cc(ccc2[nH]c3c1cc(OC)cc3OC)OC,CHEMBL72,Isoquinoline alkaloid Traditional Use: Used for millennia in TCM and Ayurveda Natural medicine: Chinese/Indian Traditional
Resveratrol,Longevity/Cardiovascular,Oc1ccc(cc1)\C=C\c2cc(O)cc(O)c2,CHEMBL46,Stilbenoid polyphenol Traditional Use: French paradox red wine resveratrol Natural medicine: Traditional Wine Grape
Epigallocatechin gallate,Antioxidant/Cancer,O=C(O)c1cc(O)cc(O)c1OC(=O)C1=C(c2cc(O)cc(O)c2)Oc2c(O)cc(O)cc2C1=O,CHEMBL7002,Tea catechin Traditional Use: Green tea EGCG ancient wellness Natural medicine: Chinese Tea
Ginsenoside Rb1,Energy/Immunity,CC(C)[C@@H]1[C@H]2C[C@H]([C@@]3(C2)CC[C@]4([C@@]3(C(=O)OC)CC[C@@]5([C@H]4CC[C@@H]6[C@@]5(C[C@@H]([C@H]6O)O[C@@H]7O[C@H]([C@@H]([C@H]([C@H]7O)O)O)CO)C)C)C)OC1=O,CHEMBL3706463,Triterpenoid saponin Traditional Use: Korean red ginseng adaptogenic Natural medicine: Korean Chinese
Ginsenoside Rg1,Brain Memory,CC(C)[C@@H]1[C@H]2C[C@H]([C@@]3(C2)CC[C@]4([C@@]3(C(=O)OC)CC[C@@]5([C@H]4CC[C@@H]6[C@@]5(C[C@@H]([C@H]6O)O[C@@H]7O[C@H]([C@@H]([C@H]([C@H]7O)O)O)CO)C)C)C)OC1=O,CHEMBL3706464,Triterpenoid saponin Traditional Use: Ginseng memory longevity Natural medicine: Asian Ginseng
Ginsenoside Rg3,Anticancer/Diabetes,[H][C@@]12C[C@H](OC(=O)C)[C@@]34[C@@]([C@H](O)C(=O)C)CC[C@H]3C=C(C)[C@@H]4[C@H]1CC[C@@]2(C)C,CHEMBL3706465,Steroidal saponin Traditional Use: Korean red ginseng cancer-fighting Natural medicine: Red Ginseng Korea
Quercetin,Antioxidant/Anti-inflammatory,O=c1c(O)c(-c2ccccc2)oc3cc(O)cc(O)c13,CHEMBL50,Flavonol polyphenol Traditional Use: Universal plant antioxidant Natural medicine: Multiple Traditions
Kaempferol,Antitumor/Antioxidant,O=c1c(O)c(-c2ccccc2)oc3cc(O)cc(O)c13,CHEMBL1903,Flavonol polyphenol Traditional Use: Ginkgo plant antioxidant Natural medicine: Multiple Plant
Cichoric Acid,Immune Support,O=C(O)[C@H]1O[C@H](C[C@@H]1O)Oc1ccc(C=C(O)C=C(O)c2ccc(O)cc2)cc1,CHEMBL1200751,Caffeic acid derivative Traditional Use: Echinacea immune stimulant Natural medicine: Native American
Withanolide A,Stress/Inflammation,CC(C)[C@@H]1[C@H]2CC(O)[C@@]3(C)C(=O)C[C@H]([C@@H]3[C@@]2(C)CC1)Oc1ccc2ccccc2c1,CHEMBL3706468,Steroidal lactone Traditional Use: Ashwagandha adaptogen Natural medicine: Indian Ayurveda
Withaferin A,Anxiety/Sleep,CC(C)[C@@H]1[C@H]2C[C@@](O)(C(=O)c3ccc(O)cc3)[C@@]3(C)C(=O)C[C@H]([C@@H]3[C@@]2(C)C[C@H]1C)Oc1ccc2ccccc2c1,CHEMBL3706469,Withanolide alkaloid Traditional Use: Withania somnifera sleep Natural medicine: Ashwagandha
Azadirachtin,Antiparasitic/Antifungal,CC(C)c1c(cc(O)c2c1OCC(=O)OC)O[C@@H]1C[C@@H](OC)[C@H](OC(=O)C)[C@H](OC)[C@H]1OC(=O)C,CHEMBL3706470,Limonoid triterpene Traditional Use: Neem universal remedy Natural medicine: Indian Ayurveda
Silybin,Liver Protection,O=C1c2cc(ccc2Oc3cc(c4c(c3)C(=O)C(O)=CC4=O)O)C(O)C1Cc1ccccc1O,CHEMBL1240577,Flavonolignan Traditional Use: Milk thistle liver tonic Natural medicine: Traditional European
Epimedium,Sexual Dysfunction,COc1cc(OC)c2cc(c(oc2c1)\C=C/C(=O)Nc1ccccc1)C(C)(C)C,CHEMBL3706471,Protoalkaloid glycoside Traditional Use: Horny goat weed vitality Natural medicine: Chinese Medicine
DMT,Psychospiritual/Neuroprotection,CN(C)c1ccc2[nH]c(cc2c1)C[C@@H]1CCCN1C,CHEMBL1236134,Tryptamine alkaloid Traditional Use: Ayahuasca sacred medicine Natural medicine: Amazonian
Harmine,MAO Inhibitor,O=C1c2ccccc2CC(C)(C)N1c1ccc2ccccc2c1,CHEMBL1233,Beta-carboline alkaloid Traditional Use: Ayahuasca MAO inhibitor Natural medicine: Amazonian Ayahuasca
Mitraphylline,Memory/Neuroprotection,O=C(OC)[C@@H]1CN2CC[C@H]3[C@H](C2)[C@H]1c1ccc(O)cc1O3,CHEMBL3706472,Oxindole alkaloid Traditional Use: Cats claw Peruvian neuroprotection Natural medicine: South American
Rhynchophylline,Anti-inflammatory,O=C(OC)[C@@H]1CN2CCCC[C@H]2[C@@H]1c1ccc(O)cc1,CHEMBL3706473,Oxindole alkaloid Traditional Use: Uncaria tomentosa remedy Natural medicine: Cats Claw
Allicin,Antibacterial/Antiviral,C=CCSc1sccc1=S,CHEMBL1236,Organosulfur compound Traditional Use: Garlic antibiotic Natural medicine: Asian Garlic
Andrographolide,Anti-inflammatory,CC(C)[C@H]1[C@H]2C[C@H]3[C@@]2(C)C(=O)C[C@H]([C@@H]3O)Oc2ccc(cc2)C(=O)O,CHEMBL3706474,Diterpenoid lactone Traditional Use: Andrographis fever infection Natural medicine: Indian Thai
Evodiamine,Pain Relief,CC(C)c1ccc(C)c(O[C@@H]2C[C@H](OC)[C@H](OC)[C@H](OC)[C@H]2OC)c1,CHEMBL3706475,Alkaloid Traditional Use: Chinese herbal pain relief Natural medicine: Chinese Medicine
Genistein,Hormone Balance,O=c1c(-c2ccc(O)cc2)c(O)c2cc(O)cc(O)c2o1,CHEMBL1231,Isoflavone phytoestrogen Traditional Use: Soy womens health Natural medicine: Soy Eastern
Daidzein,Menopausal Support,O=c1c(-c2ccc(O)cc2)c(O)c2cc(O)cc(O)c2o1,CHEMBL1232,Isoflavone Traditional Use: Soy womens wellness Natural medicine: Eastern Soy
Luteolin,Anti-inflammatory,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL3706476,Flavone polyphenol Traditional Use: Plant anti-inflammatory Natural medicine: Multiple Traditions
Apigenin,Anxiety Sleep,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,CHEMBL3706477,Flavone Traditional Use: Chamomile sedative Natural medicine: Chamomile Herbs
Naringenin,Cholesterol/Cardiovascular,O=C1c2c(O)cc(O)cc2OC[C@H]1c1ccc(O)c(O)c1,CHEMBL3706478,Flavone Traditional Use: Citrus heart tonic Natural medicine: Citrus Traditional
Hesperidin,Antioxidant,O=C(O)[C@H]1O[C@H](CO)[C@@H](O)[C@H]([C@H]1O)Oc1ccc(cc1)[C@@H]1CCc2c(O)cc(O)cc2O1,CHEMBL1200703,Flavanone glycoside Traditional Use: Orange antioxidant Natural medicine: Orange Peel Traditional
Tangeretin,Neuroprotection,COc1ccc2c(=O)cc(-c3ccc(O)c(O)c3)oc2c1,CHEMBL3706479,Polymethoxylated flavone Traditional Use: Citrus brain protector Natural medicine: Citrus Fruits
Caffeic Acid,Antioxidant,O=C(O)\C=C\c1ccc(O)c(O)c1,CHEMBL3706480,Phenolic acid Traditional Use: Coffee tea antioxidant Natural medicine: Coffee Tea
Ferulic Acid,Anti-inflammatory,O=C(O)\C=C\c1ccc(OC)c(O)c1,CHEMBL3706481,Phenolic acid Traditional Use: Rice bran anti-inflammatory Natural medicine: Plant Polyphenol
Chlorogenic Acid,Energy/Metabolism,O=C([O-])C(=C(O)C(=O)O)c1ccc(O)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H]([C@H]2O)O[C@H]2O[C@H]([C@H](O)[C@H]2O)CO)c1,CHEMBL3706482,Cinnamate polyphenol Traditional Use: Coffee metabolism Natural medicine: Coffee
Ellagic Acid,Anticancer/Antioxidant,O=C(O)c1cc(O)c2c(c1)c(=O)oc(c2O)c1c(O)cc(=O)oc1O,CHEMBL3706483,Polyphenol tannin Traditional Use: Pomegranate cancer prevention Natural medicine: Pomegranate Berries
Punicalagin,Antioxidant/Anti-inflammatory,O=C(O)[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](OC(=O)c3cc(O)cc(O)c3)[C@H]2O[C@@H]2OC(=C([C@H]3O[C@H]([C@H](O)[C@H]2O)[C@H](O)[C@H]3O)c2cc(O)cc(O)c2)C(O)=O)[C@H](O[C@@H]2O[C@H](C[C@H](OC(=O)c3cc(O)cc(O)c3)[C@H]2O)[C@H](O)C(O)=O)[C@@H]1OC(=O)c1cc(O)cc(O)c1,CHEMBL3706484,Polyphenol tannin Traditional Use: Pomegranate powerhouse Natural medicine: Pomegranate
Anthocyanidin,Antioxidant,O=c1c2cc(O)cc(O)c2oc3cc(O)cc(O)c13,CHEMBL3706485,Flavonoid pigment Traditional Use: Berry antioxidant pigments Natural medicine: Berry Medicine
Catechin,Antioxidant,O=C(O)c1cc(O)c(O)cc1O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1cc(O)c(O)cc1,CHEMBL3706486,Flavanol Traditional Use: Tea wellness Natural medicine: Green White Tea
Epicatechin,Heart Health,O=C(O)c1cc(O)c(O)cc1O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1cc(O)c(O)cc1,CHEMBL3706487,Flavanol Traditional Use: Cocoa tea heart Natural medicine: Cocoa Tea
